Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
18-Oct-14,South Carolina,Graniteville,192 Breezy Hill Road,1,3,N/A
18-Oct-14,New York,Brooklyn,Lenox Road,0,4,N/A
16-Oct-14,Michigan,Detroit,Mogul Street,1,3,N/A
14-Oct-14,Georgia,Peachtree Corners,6505 Bannor Lane,3,2,N/A
13-Oct-14,Georgia,Atlanta,85 Mount Zion Road,0,4,N/A
12-Oct-14,California,Stockton,1100 block of East March Lane,3,1,N/A
12-Oct-14,Georgia,Atlanta,Arthur Langford Jr Place,1,3,N/A
11-Oct-14,New York,Utica,222 Bleecker Street,0,5,N/A
8-Oct-14,Georgia,Atlanta,Auburn Avenue and Edgewood Avenue,0,4,N/A
8-Oct-14,New York,Guilderland,1846 Western Ave,4,0,N/A
5-Oct-14,Florida,Jacksonville,7300 block of Linda Drive,3,1,N/A
5-Oct-14,Michigan,Detroit,East 7 Mile Road and Sherwood Street,1,5,N/A
4-Oct-14,Tennessee,Memphis,1400 block of Gherald Street,2,2,N/A
4-Oct-14,California,Pomona,1925 West Holt Avenue ,0,4,N/A
29-Sep-14,South Carolina,Walterboro,29 Sandy Dam Lane,1,7,N/A
29-Sep-14,California,Fresno,2300 block of West Fountain Way ,0,4,N/A
28-Sep-14,Pennsylvania,Philadelphia,2800 block of Hope Street,0,4,N/A
28-Sep-14,Florida,Miami,NW 7th Ave and NW 64th Street,0,15,N/A
27-Sep-14,Missouri,Saint Louis,2000 block East John Avenue,0,5,N/A
26-Sep-14,South Carolina,Darlington County,600 block of Turner Road,1,4,N/A
21-Sep-14,Ohio,East Liverpool,440 First St,0,4,N/A
20-Sep-14,Mississippi,Batesville,8297 Curtis Rd,2,2,N/A
19-Sep-14,New York,Queens,32-14 106th St,0,4,N/A
18-Sep-14,Florida,Bell,NW 30th Street and NW 39th Terrace,8,0,N/A
15-Sep-14,Louisiana,New Orleans,Chef Menteur Highway and Dale Street,0,5,N/A
14-Sep-14,Texas,Flour Bluff,229 Naval Air Station Drive,3,1,N/A
14-Sep-14,Alaska,Anchorage,225 E Fifth,0,6,N/A
11-Sep-14,Michigan,Detroit,14000 block of Patton,1,7,N/A
6-Sep-14,Florida,Orlando,2015 Orange Blossom Trail,0,4,N/A
6-Sep-14,Georgia,Macon,576 Poplar Street,0,5,N/A
4-Sep-14,Michigan,Flint,2400 block of Martin Luther King Boulevard,0,5,N/A
3-Sep-14,California,Los Angeles,East 27th and Stanford ,0,6,N/A
2-Sep-14,California,Highland,25000 block of Fifth Street ,0,5,N/A
2-Sep-14,Mississippi,Jackson,3622 Medgar Evers Boulevard,2,3,N/A
31-Aug-14,California,Livermore,200 block of South Q Street ,0,5,N/A
29-Aug-14,Florida,Brooksville,820 Peach St,3,1,N/A
27-Aug-14,Michigan,Detroit,16600 block of Edmore,1,3,N/A
24-Aug-14,Illinois,Chicago,8300 block of South Halsted Street,1,3,N/A
24-Aug-14,Georgia,Augusta,1013 Carrie Street,1,3,N/A
24-Aug-14,California,San Fernando,1400 block of Celis Street ,3,4,N/A
20-Aug-14,Tennessee,Memphis,1400 block of Briarcrest Lane,0,5,N/A
18-Aug-14,Louisiana,Saint Martinville,Main and Hyacinth streets,0,4,N/A
17-Aug-14,New York,Queens,153-38 118th Ave,0,4,N/A
17-Aug-14,Massachusetts,Boston,Edinboro Street,0,4,N/A
17-Aug-14,California,East Palo Alto,Purdue Street and Georgetown Avenue,1,3,N/A
17-Aug-14,Nevada,Las Vegas,Owens Avenue and H Street,0,4,N/A
16-Aug-14,New Jersey,Plainfield,West 3rd Street and Monroe Avenue,1,3,N/A
16-Aug-14,Utah,Salt Lake City,122 Pierpont Avenue,0,6,N/A
14-Aug-14,Tennessee,Memphis,797 Pope Street,1,3,N/A
13-Aug-14,Tennessee,Clarksville,Treeland Drive,0,4,N/A
13-Aug-14,Louisiana,New Orleans,New Orleans and North Rocheblave streets,0,4,N/A
12-Aug-14,Georgia,Cartersville,Brent Cir,2,3,N/A
12-Aug-14,New York,Buffalo,Oakmont Avenue,1,3,N/A
10-Aug-14,Louisiana,New Orleans,5400 block of Burgundy St,2,5,N/A
10-Aug-14,Georgia,Wrightsville,Idylwild Dr,0,6,N/A
10-Aug-14,California,Moreno Valley,16300 block of Heather Glen Road ,0,7,N/A
10-Aug-14,District of Columbia,Washington,N Street SW,0,6,N/A
9-Aug-14,Minnesota,Minneapolis,400 3rd Ave N,1,8,N/A
8-Aug-14,Wisconsin,Milwaukee,3000 block of N. 28th Street ,0,4,N/A
8-Aug-14,District of Columbia,Washington,Second Street and Todd Place NE,0,4,N/A
8-Aug-14,New Mexico,Albuquerque,3426 Vassar NE,1,3,N/A
6-Aug-14,California,Bakersfield,1700 block of Quincy Street ,3,1,N/A
4-Aug-14,Georgia,Atlanta,1100 block of Joseph E. Boone Boulevard NW,0,5,N/A
3-Aug-14,Texas,Humble,3403 FM 1960,0,7,N/A
3-Aug-14,Missouri,Saint Louis,5200 block of Thekla ,0,5,N/A
3-Aug-14,Virginia,Culpeper,4400 block of Rixeyville Road,5,0,N/A
3-Aug-14,Tennessee,Columbia,East 9th Street and Bridge Street,0,5,N/A
2-Aug-14,Texas,Dallas,5125 Wynell Street,3,1,N/A
2-Aug-14,Massachusetts,New Bedford,Acushnet Avenue,0,7,N/A
2-Aug-14,Pennsylvania,Pittsburgh,Penn Avenue and 29th Street,1,5,N/A
1-Aug-14,Pennsylvania,Philadelphia,1500 block of South Etting Street,1,3,N/A
30-Jul-14,North Carolina,Hope Mills,926 Bramblegate Rd,2,3,N/A
28-Jul-14,Pennsylvania,Philadelphia,4900 block of North Front Street,1,4,N/A
27-Jul-14,Missouri,Saint Louis,2000 block of East John Avenue,0,5,N/A
26-Jul-14,Arkansas,Pine Bluff,Third Ave and Redbud St,1,3,N/A
26-Jul-14,Maine,Saco,35 Water Street,5,0,N/A
26-Jul-14,Georgia,Sylvester,Royal Street,0,8,N/A
25-Jul-14,Illinois,Chicago,700 South California Avenue,1,6,N/A
23-Jul-14,Pennsylvania,Braddock,700 block of Hickory St,0,4,N/A
21-Jul-14,New Jersey,Irvington,36 Welland Avenue,0,6,N/A
21-Jul-14,Tennessee,Memphis,300 block of Foote Park Lane,0,4,N/A
20-Jul-14,Illinois,East Saint Louis,5103 block of Bunkum Rd,1,3,N/A
20-Jul-14,Nevada,Las Vegas,Rancho Drive 3400 block ,1,3,N/A
19-Jul-14,Illinois,Chicago,1300 North Mason Avenue,0,4,N/A
14-Jul-14,California,Sacramento,Fulton Avenue ,1,4,N/A
13-Jul-14,Washington,Skyway,12600 Renton Avenue South ,0,5,N/A
13-Jul-14,Connecticut,Stamford,84 West Park Place,0,5,N/A
13-Jul-14,District of Columbia,Washington,1700 block of Lincoln Road NE,0,4,N/A
12-Jul-14,California,Pasadena,1700 block of Summit Avenue,3,2,N/A
11-Jul-14,Illinois,Chicago,5200 West Quincy Street,1,3,N/A
9-Jul-14,Texas,Spring,711 Leaflet Ln,6,1,N/A
8-Jul-14,Rhode Island,Providence,35 March Street,0,5,N/A
7-Jul-14,Kentucky,Stopover,KY 194E,0,4,N/A
7-Jul-14,California,San Bernardino,312  E Baseline Street ,1,4,N/A
6-Jul-14,Florida,Miami,NW 20th Ave and NW 62nd St,2,2,N/A
6-Jul-14,Missouri,Saint Louis,4600 block of Natural Bridge Avenue,0,4,N/A
6-Jul-14,New York,Buffalo,100 block of Erb Street,0,4,N/A
5-Jul-14,Texas,Houston,1700 Almeda-Genoa,0,6,N/A
5-Jul-14,Virginia,Norfolk,861 W. 36th Street,0,7,N/A
5-Jul-14,Oregon,Portland,333 SE 122ND Ave,1,4,N/A
5-Jul-14,Indiana,Indianapolis,Broad Ripple Avenue,0,7,N/A
5-Jul-14,Illinois,Centreville,4700 Piggott Avenue,0,5,N/A
4-Jul-14,Virginia,Norfolk,1722 Thurgood Street,0,5,N/A
2-Jul-14,Pennsylvania,Chester,1400 block of West Congress Street,0,5,N/A
30-Jun-14,Kentucky,Lexington,Scottsdale Circle,1,3,N/A
29-Jun-14,Louisiana,New Orleans,700 block of Bourbon St,1,9,N/A
29-Jun-14,Missouri,Saint Louis,2800 block of Dayton,0,4,N/A
29-Jun-14,California,Los Angeles,1100 block of North Vermont Avenue,1,5,N/A
28-Jun-14,California,Antioch,5500 Cedar Point Way,0,7,N/A
28-Jun-14,New York,Manhattan,Fifth Avenue and West 139th Street,0,4,N/A
27-Jun-14,California,San Diego,1600 block of Cathy Street,1,3,N/A
26-Jun-14,Wisconsin,Milwaukee,24th and Locust,0,5,N/A
26-Jun-14,Michigan,Detroit,Grand St,2,2,N/A
25-Jun-14,Massachusetts,Lowell,Midland Street,0,5,N/A
24-Jun-14,Florida,Miami,Northwest 12th Avenue and 65th Street,2,7,N/A
22-Jun-14,California,Windsor,Windsor Avenue,1,3,N/A
21-Jun-14,District of Columbia,Washington,Florida Avenue and U Street NW,0,4,N/A
21-Jun-14,Tennessee,Memphis,2119 East Alcy Road,0,5,N/A
20-Jun-14,Maryland,Seat Pleasant,6600 block of Greig Street,0,4,N/A
15-Jun-14,Indiana,Kokomo,5100 Clinton Drive,0,4,N/A
15-Jun-14,Illinois,Park Forest,200 Berry Street,0,4,N/A
13-Jun-14,California,Los Angeles,8600 block of South Figueroa Street,3,1,N/A
9-Jun-14,New Jersey,Paterson,Rosa Parks Boulevard and Godwin Avenue,0,6,N/A
8-Jun-14,Alabama,Opp,611 Hardin Street,1,4,N/A
7-Jun-14,South Carolina,Moncks Corner,Tish Lane,1,5,N/A
7-Jun-14,Michigan,Oak Park,10811 W. Ten Mile Rd.,1,3,N/A
4-Jun-14,Illinois,Chicago,4900 West West End Avenue,1,3,N/A
3-Jun-14,Georgia,Atlanta,Auburn Avenue,1,4,N/A
2-Jun-14,Illinois,Chicago,2660 E. 79th St,0,7,N/A
1-Jun-14,Illinois,Chicago,West Ferdinand Street and North Lavergne Avenue ,1,5,N/A
1-Jun-14,California,Sacramento,6500 46th Street,0,4,N/A
31-May-14,California,San Bernardino,800 block of West Victoria St,1,3,N/A
25-May-14,Ohio,Toledo,2100 block of Joffre Avenue,1,3,N/A
24-May-14,Michigan,Detroit,Strathmoor Street,0,4,N/A
24-May-14,South Carolina,Myrtle Beach,Ocean Boulevard near First Avenue North,3,1,N/A
23-May-14,California,Goleta (Isla Vista),840 Embarcadero Del Norte,4,8,N/A
23-May-14,Louisiana,New Orleans,6200 block of Eads Street,1,7,N/A
23-May-14,California,Bellflower,9541 Flower Street,2,2,N/A
21-May-14,Texas,Dallas,4500 block of Village Fair Drive,1,3,N/A
18-May-14,Ohio,Sandusky,1643 Cleveland Rd,0,7,N/A
17-May-14,California,Coachella,84000 block of Pedro Drive,1,3,N/A
17-May-14,District of Columbia,Washington,2200 block of Adams Place NE,0,5,N/A
13-May-14,Georgia,Atlanta,Panther Trail and Childress Drive,0,5,N/A
12-May-14,Illinois,Chicago,3400 West 24th Street,0,4,N/A
11-May-14,California,Sacramento,Peregrine Park,1,6,N/A
11-May-14,Tennessee,Memphis,2517 Shasta,0,7,N/A
10-May-14,Georgia,Stone Mountain,1100 To Lani Farm Road,1,3,N/A
10-May-14,California,Sacramento,Natomas,1,6,N/A
10-May-14,Georgia,Decatur,Shamrock Drive ,2,3,N/A
4-May-14,Illinois,Chicago,500 West Erie Street,1,3,N/A
4-May-14,Colorado,Wheat Ridge,12100 W 44th,0,4,N/A
3-May-14,Arkansas,Jonesboro,2201 Moore Rd,4,4,N/A
30-Apr-14,Illinois,Chicago,7200 South Phillips Avenue,0,4,N/A
29-Apr-14,Georgia,Kennesaw,1675 Airport Road,1,6,N/A
27-Apr-14,New York,Troy,Fourth Street,0,5,N/A
25-Apr-14,Tennessee,Memphis,2000 Chelsea Avenue,2,3,N/A
22-Apr-14,California,Los Angeles,6419 Brynhurst Avenue,1,3,N/A
20-Apr-14,Illinois,Montgomery,1300 block of Jackson St,0,6,N/A
20-Apr-14,Florida,Tampa,2902 N. 32nd St.,2,2,N/A
20-Apr-14,Illinois,Chicago,6600 South Michigan Ave,0,5,N/A
14-Apr-14,District of Columbia,Washington,1500 block of 19th Street,0,4,N/A
12-Apr-14,Louisiana,New Orleans,2100 block of Pauger Street,1,3,N/A
11-Apr-14,Indiana,Richmond,North 15th and H Streets,0,4,N/A
9-Apr-14,Tennessee,Lookout Valley,Kellys Ferry Road and Kellys Ferry Place,3,1,N/A
9-Apr-14,Illinois,Rockford,300 North Sunset,0,4,N/A
7-Apr-14,Louisiana,New Orleans,500 block of South Alexander Street,0,4,N/A
6-Apr-14,Massachusetts,Springfield,90 Worthington St.,0,4,N/A
6-Apr-14,Oklahoma,Oklahoma City,Northwest 29th Street and Portland Avenue,0,4,N/A
5-Apr-14,Illinois,Chicago,4300 W Wilcox Street,1,5,N/A
5-Apr-14,Arizona,Phoenix,5400 block of W Palm Ln,1,3,N/A
5-Apr-14,California,Fairfield,Orchid Street ,0,4,N/A
2-Apr-14,Texas,Fort Hood,Motor Pool Road and Tank Destroyer Boulevard,4,16,N/A
30-Mar-14,Mississippi,Starkville,N/A,0,5,N/A
30-Mar-14,North Carolina,Charlotte,4300 Sunset Road,0,5,N/A
23-Mar-14,Texas,Arlington,2700 Majesty Drive,1,3,N/A
23-Mar-14,California,Long Beach,601 Long Beach Boulevard,1,3,N/A
23-Mar-14,California,San Francisco,Turk and Taylor,0,7,N/A
21-Mar-14,South Carolina,North Charleston,7550 Dorchester Road,0,4,N/A
16-Mar-14,Texas,Beaumont,S 4th St,3,1,N/A
16-Mar-14,Georgia,Waynesboro,4960 Highway 80 West ,0,4,N/A
14-Mar-14,New York,Brooklyn,S. Second and Roebling Sts,0,4,N/A
9-Mar-14,Ohio,Fremont,531 W State St,3,1,N/A
9-Mar-14,Texas,Austin, 4900 block of West Race Avenue,0,6,N/A
8-Mar-14,Illinois,Chicago,4900 West Race Ave,0,6,N/A
8-Mar-14,California,Richmond,1600 block of First Street,1,3,N/A
5-Mar-14,South Carolina,Pelzer,Law Street,3,2,N/A
1-Mar-14,Pennsylvania,Pittsburgh,Hamilton Avenue,1,4,N/A
1-Mar-14,Michigan,Detroit,7800 Gratiot Av.,0,4,N/A
25-Feb-14,Virginia,Glade Spring,Graceland Lane,5,1,N/A
22-Feb-14,California,Wilmington,1200 block of W Papeete St,0,4,N/A
20-Feb-14,Indiana,Indianapolis,3400 block of South Parker,4,0,N/A
20-Feb-14,California,Alturas,300 W 1st St,4,2,N/A
16-Feb-14,Texas,Fort Worth, 115 NW 25th St.,1,4,N/A
16-Feb-14,Florida,Orange County,4500 block of Riviera Shores ,1,6,N/A
16-Feb-14,Florida,Jacksonville,1187 S. Edgewood Ave.,1,4,N/A
16-Feb-14,Texas,Dallas,2600 block of South Harwood Street,1,7,N/A
16-Feb-14,Indiana,Fort Wayne,Lafayette Street and East Tillman Road,0,5,N/A
15-Feb-14,Nevada,Las Vegas,Sahara and Maryland ,0,5,N/A
12-Feb-14,Indiana,Gary,2220 block of Broadway,0,5,N/A
12-Feb-14,California,Oakland,37th and International ,1,3,N/A
12-Feb-14,California,Stockton,Constitution Park,1,3,N/A
7-Feb-14,Florida,Miami,Northwest 41st Street and 9th Avenue ,0,5,N/A
6-Feb-14,Louisiana,New Orleans,4600 block of Downman Road,0,4,N/A
5-Feb-14,Illinois,Chicago,6740 N Clark St,1,3,N/A
3-Feb-14,Indiana,Franklin,2100 block of Bridlewood Dr,3,2,N/A
27-Jan-14,North Carolina,Rocky Mount,821 Word Plaza,0,4,N/A
27-Jan-14,Washington,Seattle,2nd Avenue South and South Main Street,1,4,N/A
25-Jan-14,Illinois,Chicago,S. Union Av and W. 51st St,1,4,N/A
25-Jan-14,Florida,Belle Glade,600 block of Covenant Drive,0,4,N/A
21-Jan-14,New Jersey,Newark,Springfield Avenue ,2,3,N/A
20-Jan-14,Virginia,Manassas,8509 Rixlew Ln,0,4,N/A
16-Jan-14,Oklahoma,Ardmore,H St NE and Martin Luther King Blvd,2,5,N/A
16-Jan-14,Utah,Spanish Fork,37 N. 630 West,5,0,N/A
14-Jan-14,California,Los Angeles,West 86th Street,0,4,N/A
13-Jan-14,Michigan,Detroit,800 block of Calvert St,0,4,N/A
12-Jan-14,Louisiana,Tallulah,3600 block of Highway 80 W,0,6,N/A
12-Jan-14,Alabama,Huntsville,University Drive,0,5,N/A
12-Jan-14,Illinois,Elgin,300 block of North Street,0,5,N/A
3-Jan-14,New York,Queens,Farmers Boulevard and 133rd Avenue,1,3,N/A
1-Jan-14,Virginia,Norfolk,Rockingham Street and Berkley Avenue Extended,2,2,N/A
