Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
30-Aug-15,Tennessee,Memphis,3300 block of Sobota Circle,1,4,N/A
29-Aug-15,Tennessee,Bristol,618 Henson Road,3,2,N/A
29-Aug-15,Texas,Tyler,638 ENE Loop 323,1,3,N/A
28-Aug-15,New York,Brooklyn,589 Flatbush Avenue,1,3,N/A
27-Aug-15,California,Salinas,928 Blanco Circle,2,2,N/A
26-Aug-15,Illinois,Chicago,3025 W. Van Buren Ave,2,2,N/A
26-Aug-15,Minnesota,Minneapolis (Brooklyn Center),5000 block of Drew Avenue North,0,4,N/A
26-Aug-15,Florida,West Palm Beach,800 block of 19th Street,2,2,N/A
25-Aug-15,Louisiana,New Orleans,Fern Street and Olive Street,1,3,N/A
23-Aug-15,California,Modesto,1100 block of Kansas Avenue,1,7,N/A
22-Aug-15,Florida,Orlando (Pine Hills),State Road 408,0,4,N/A
22-Aug-15,New Mexico,Roswell,302 East Reed Street,3,1,N/A
21-Aug-15,North Carolina,Durham,2700 block of Hinson Drive,0,8,N/A
21-Aug-15,Ohio,Cincinnati,Mathis and Prentice,2,5,N/A
20-Aug-15,Texas,Grulla (La Grulla),FM 2360,2,2,N/A
19-Aug-15,New York,Rochester,500 Genesee St,3,4,N/A
16-Aug-15,Texas,Fort Worth,3651 Sycamore School Rd,0,6,N/A
16-Aug-15,Illinois,Chicago,5400 block of West Division Street,0,4,N/A
16-Aug-15,South Carolina,Bennettsville,Highway 38N,0,5,N/A
15-Aug-15,Pennsylvania,Pittsburgh,West Prospect Avenue,1,3,N/A
15-Aug-15,California,Los Angeles,57th Street and South Normandie Avenue,0,4,N/A
15-Aug-15,South Carolina,Orangeburg,2868 Bamberg Road,1,3,N/A
10-Aug-15,California,Long Beach,1700 block of East 10th Street,0,4,N/A
9-Aug-15,Mississippi,Forest,Poplar Street,1,3,N/A
9-Aug-15,Michigan,Detroit,15200 block of Hazelridge,1,3,N/A
9-Aug-15,Missouri,Kansas City,40th Street and Pennsylvania Avenue,0,4,N/A
8-Aug-15,North Carolina,Gastonia,4908 Greenwood Drive,2,3,N/A
8-Aug-15,Arkansas,Blytheville,833 Anderson Street,1,11,N/A
8-Aug-15,Texas,Houston,2211 Falling Oaks,8,0,N/A
7-Aug-15,Vermont,Barre (Berlin),3182 Airport Rd,4,0,N/A
6-Aug-15,South Carolina,Columbia,1505 Garden Plaza,0,4,N/A
4-Aug-15,Missouri,Saint Louis,2500 block of Semple,1,4,N/A
3-Aug-15,New York,Brooklyn,98 Dwight Street,0,5,N/A
2-Aug-15,New York,Brooklyn,Stanley Avenue and Crescent Street,0,9,N/A
2-Aug-15,Maryland,Baltimore,2700 block of Garrison Avenue,0,7,N/A
2-Aug-15,Illinois,Chicago,4800 block of West Kamerling Avenue,1,4,N/A
2-Aug-15,Georgia,Savannah,Barnard Street,0,5,N/A
2-Aug-15,Illinois,Chicago,6700 block of South Winchester Avenue,0,4,N/A
1-Aug-15,Florida,Orlando,5801 Shenandoah Way,0,4,N/A
30-Jul-15,Pennsylvania,Pittsburgh,Brushton Avenue,0,4,N/A
27-Jul-15,Illinois,Rockford,900 block of Kent Street,0,5,N/A
26-Jul-15,Missouri,Kansas City,Thompson and Colorado,2,3,N/A
26-Jul-15,Louisiana,New Orleans,Piety and Treasure street,0,4,N/A
25-Jul-15,Virginia,Hopewell,500 block of N. 7th Ave,0,4,N/A
24-Jul-15,Pennsylvania,Erie,200 block of W 29th St,2,5,N/A
23-Jul-15,Louisiana,Lafayette,3141 Johnson Street,3,9,N/A
22-Jul-15,Missouri,Saint Louis,Fair Ave and Ashland Ave,0,6,N/A
22-Jul-15,Georgia,Suwanee,5500 block of Old Atlanta Road,5,0,N/A
21-Jul-15,Florida,Miami Gardens,Northwest 25th Avenue and Miami Gardens Drive,1,3,N/A
20-Jul-15,New York,Bronx,E. 153rd St. and the Grand Concourse,0,6,N/A
19-Jul-15,Virginia,Suffolk,100 block of North Capitol Street,0,4,N/A
19-Jul-15,Kentucky,Louisville,2928 W Kentucky St,0,6,N/A
19-Jul-15,North Carolina,Rocky Mount,Interstate 64 and Raliegh Street,0,4,N/A
18-Jul-15,California,San Diego,200 block of South Bancroft Street,0,4,N/A
18-Jul-15,California,Santa Paula,Ojai-Santa Paula Street,0,5,N/A
18-Jul-15,Oregon,Salem,1550 Weston Ct NE,1,4,N/A
18-Jul-15,Louisiana,Baton Rouge,300 block of Brice Street,2,2,N/A
17-Jul-15,Illinois,Chicago,4400 block of W. Maypole,0,5,N/A
17-Jul-15,Ohio,Cincinnati (Westwood),3100 block of Sunshine Avenue,0,4,N/A
16-Jul-15,Tennessee,Chattanooga,4051 Amnicola Highway,6,2,N/A
16-Jul-15,Texas,Dallas,Singleton and Hampton,0,5,N/A
15-Jul-15,Georgia,Atlanta,500 block of Center Hill Avenue,0,5,N/A
15-Jul-15,Maryland,Baltimore,3500 block of West Garrison Boulevard,1,3,N/A
15-Jul-15,Ohio,Cleveland,700 block of Thornhill,0,7,N/A
15-Jul-15,Michigan,Detroit,9200 block of Memorial,0,4,N/A
15-Jul-15,South Carolina,Holly Hill,7050 Old State Road,4,1,N/A
14-Jul-15,Missouri,Saint Louis,1100 block of Riverview,0,4,N/A
13-Jul-15,California,Norwalk,11959 162nd Street,0,4,N/A
13-Jul-15,California,Stockton,400 block of McCloud Avenue,1,4,N/A
12-Jul-15,Illinois,River Forest,116 Lathrop Avenue,2,3,N/A
12-Jul-15,New Jersey,Jersey City,Sip and Van Wagenen avenues,0,4,N/A
7-Jul-15,Ohio,Cleveland,East 162nd Street and Miles Avenue,1,3,N/A
7-Jul-15,Maryland,Baltimore,900 block of West Fayette Street,3,1,N/A
5-Jul-15,Louisiana,Shreveport,3500 block of Hearne Avenue,0,8,N/A
5-Jul-15,Indiana,Fort Wayne,1400 block of McCulloch Street,0,9,N/A
5-Jul-15,New Jersey,East Orange,200 block of S. Clinton St,1,3,N/A
4-Jul-15,District of Columbia,Washington,2600 Douglas Place SE,1,3,N/A
4-Jul-15,Kentucky,Louisville,2500 block of West Broadway,0,4,N/A
4-Jul-15,Massachusetts,Pittsfield,Dewey Avenue,1,4,N/A
4-Jul-15,New York,Syracuse,Bellevue and Rich Street,0,4,N/A
4-Jul-15,Texas,San Antonio,1100 block of West Avenue,0,4,N/A
2-Jul-15,Indiana,Indianapolis,500 block of Lynn St,1,3,N/A
29-Jun-15,Florida,Opa Locka,13450 NW 30th Ave,0,4,N/A
28-Jun-15,Michigan,Detroit,Gratiot and Loretto,0,5,N/A
28-Jun-15,Illinois,Venice,1430 Broadway,0,6,N/A
28-Jun-15,Delaware,Harrington,100 block of East St,0,6,N/A
27-Jun-15,Massachusetts,Taunton,Weir Street,1,3,N/A
27-Jun-15,Michigan,Detroit,Stringham Court,0,4,N/A
24-Jun-15,New York,New York (Manhattan),2110 Madison Ave,0,4,N/A
22-Jun-15,Pennsylvania,Philadelphia,700 block of East Hilton Street,0,7,N/A
